origin/feat/reponomics-demo-2026-04-27 | merged to main (ancestor) | docs: REPONOMICS-API.md ΓÇö endpoint reference + Sean-signature recipe
origin/feat/reponomics-live-demo-2026-04-27 | merged to main (ancestor) | test(reponomics): anonymous signup + round runner (13 new tests)
origin/feat/reponomics-full-account-2026-04-27 | merged to main (ancestor) | fix(health): allow /api/v1/health in auth middleware
origin/feat/real-not-simulated-2026-04-27 | merged to main (ancestor) | feat(oracle): real Base Sepolia block-hash oracle with HMAC fallback
origin/feat/erc8004-canonical-2026-04-27 | merged to main (ancestor) | chore(erc8004): canonical registration output log
origin/feat/wire-canonical-writer-2026-04-28 | merged to main (ancestor) | feat: phase 1 - wire canonical writer into anonymous round runner
origin/feat/erc8004-validation-2026-04-28 | merged to main (ancestor) | feat: phase A - validation registry writer
origin/feat/real-x402-settler-2026-04-28 | merged to main (ancestor) | feat: phase B - real x402 USDC settler
origin/feat/hardening-2026-04-28-jwt | merged to main (ancestor) | fix(test): gate src/index.ts side-effects on NODE_ENV !== 'test'
origin/feat/e2e-tests-2026-04-28 | merged to main (ancestor) | test(e2e): live Railway flow walker (token-signup ΓåÆ stake ΓåÆ round ΓåÆ snapshot)
origin/feat/canonical-register-all-2026-04-28 | merged to main (ancestor) | feat: phase C - register 10 trinity agents canonically
origin/feat/alpaca-verify-2026-04-28 | merged to main (ancestor) | verify(alpaca): paper-trading flow verifier ΓÇö creds + order + poll + cancel
origin/feat/guided-tour-backend-2026-04-28 | merged to main (ancestor) | feat(demo): backend hooks for guided-tour pedagogy
origin/feat/audit-chain-merkle-2026-04-28 | merged to main (ancestor) | fix(hal): wire 5-signal combiner into score-event handler
origin/feat/cross-llm-verification-layer-2026-05-03 | merged to main (ancestor) | feat(hal): Phase 1.5 ext ΓÇö Pythagorean Comma BFT veto + 3-provider cross-LLM
origin/feat/receipt-bridge-integration-2026-05-03 | merged to main (ancestor) | feat: erc8004 poster, receipt indexer, and trinity validators schema
origin/feat/receipt-bridge-v1-2026-05-03 | merged to main (ancestor) | [CC1 sprint 2026-05-04] Phase 4+5 ΓÇö smoke script and live verification
origin/feat/hal-extraction-library-2026-05-04 | merged to main (ancestor) | [CC1 sprint 2026-05-04] P5-A ΓÇö widen Layer 1 gate to include 'math' + smoke test wiring
origin/feat/repid-staking-mvp-2026-05-05 | merged to main (ancestor) | feat: staking mvp backend route
origin/feat/tiered-router-direct-only-2026-05-07 | merged to main (ancestor) | feat: Tiered Router with Direct Adapters only
origin/feat/agent-registration-2026-05-07-A5 | merged to main (ancestor) | feat(A5): external agent registration ΓÇö Maya-shape additive contract
origin/fix/hal-decision-enum-2026-05-08 | merged to main (ancestor) | fix(scoring): add hal_decision enum derivation to scoring pipeline
origin/fix/smoke-failures-2026-05-08 | merged to main (ancestor) | test: update smoke script to handle manual redirects and 301s
origin/fix/hygiene-1-2026-05-08 | merged to main (ancestor) | fix: hygiene-1 ΓÇö silence JSON parse traces, gate HAL benchmark, and add tests
origin/fix/smoke-router-order-2026-05-08 | merged to main (ancestor) | fix: mount discovery/hal-stats/bounties/prove-repid routes before auth middleware (SMOKE-FIXES-ROUTER-ORDER)
origin/feat/hal-autorunner-2026-05-08 | merged to main (ancestor) | feat(hal): persistent HAL autorunner with F1/precision/recall metrics (HAL-AUTORUNNER)
origin/revert/hal-autorunner-2026-05-09 | merged to main (ancestor) | revert: HAL autorunner pending unified-evaluation architecture
origin/feat/hal-evaluations-unified-table-2026-05-09 | merged to main (ancestor) | feat(hal): unified evaluations table + dual-write hook
origin/feat/indexer-worker-hardening-2026-05-10 | merged to main (ancestor) | feat(indexer,worker): retry + stall detection hardening
origin/fix/move-service-entrypoints-2026-05-10 | merged to main (ancestor) | fix(deploy): move service entry points to src/scripts/ + add npm scripts
origin/fix/railway-toml-startcommand-2026-05-10 | merged to main (ancestor) | fix(deploy): remove global startCommand override in railway.toml
origin/feat/erc8004-spec-compliance-2026-05-10 | merged to main (ancestor) | fix(worker): improve healthcheck robustness
origin/feat/v1-gap-inventory-2026-05-10 | merged to main (ancestor) | fix(worker): improve healthcheck robustness
origin/fix/indexer-healthcheck-2026-05-10 | merged to main (ancestor) | fix(worker): improve healthcheck robustness
origin/feat/graph-rag-foundation-2026-05-10 | merged to main (ancestor) | feat(graph-rag): foundation ΓÇö embedded memory nodes + edges
origin/feat/erc8004-minting-flow-2026-05-10 | merged to main (ancestor) | feat(erc8004): minter + HTTP routes + backfill for 4 headline agents
origin/feat/megasprint-mass-mint-graphrag-canon-2026-05-10 | merged to main (ancestor) | feat(megasprint): mass-mint backfill + Graph RAG HAL wiring + canon
origin/feat/repid-earning-rate-limit-2026-05-11 | merged to main (ancestor) | feat(sprint-2): RepID earning + rate limiter + V1 gap inventory
origin/feat/x402-mesh-bidirectional-2026-05-11 | merged to main (ancestor) | Merge branch 'main' into feat/x402-mesh-bidirectional-2026-05-11
origin/feat/pnl-writer-repair-2026-05-11 | merged to main (ancestor) | feat(sprint-3): pnl_realized investigation + scoreTrade reality alignment
origin/feat/hal-accuracy-view-cleanups-2026-05-11 | merged to main (ancestor) | feat(sprint-4): hal_accuracy_summary view + housekeeping
origin/feat/recovery-substrate-and-evidence-2026-05-11 | merged to main (ancestor) | feat(sprint-6): trinity_swarm_health view + heartbeat interval tracking
origin/feat/gap-closure-and-distribution-2026-05-12 | merged to main (ancestor) | feat(sprint-7): gap closure + distribution hardening
origin/feat/rls-wave-1-and-integration-tests-2026-05-12 | merged to main (ancestor) | feat(sprint-8): RLS Wave 1 (40 Category A) + integration test suite + CI gate
origin/feat/substrate-wakeup-and-micro-tx-loop-2026-05-12 | merged to main (ancestor) | CC Sprint 9: substrate wake-up scaffolding (probes, breakers, runbooks, mocks)
origin/feat/x402-first-microtx-hardening-2026-05-12 | merged to main (ancestor) | feat(x402): sprint 4 complete - idempotency, governor, circuit breaker, tests
origin/feat/schema-canon-and-graph-rag-substrate-2026-05-12 | merged to main (ancestor) | fix(sprint-10): restore Phase 5 files lost during branch turbulence
origin/feat/cc-sprint-11-surface-fixes-2026-05-12 | merged to main (ancestor) | feat(types): wire Supabase TS type generator + npm scripts
origin/feat/x402-recovery-and-mvp-corrective-2026-05-12 | merged to main (ancestor) | feat(x402): extend health CLI with recovery worker status
origin/feat/cc-sprint-12-worktree-topology-2026-05-12 | merged to main (ancestor) | feat(git): worktree doctor health-check CLI
origin/feat/x402-wakeup-readiness-2026-05-12 | merged to main (ancestor) | docs(x402): append protocol for first real micro-transaction
origin/feat/gemini-2026-05-14-phase2-4-shareable-zkp-card-generator | merged to main (ancestor) | fix: resolve package.json merge conflict markers
origin/feat/gemini-2026-05-14-phase2-5-substance-gate-hardening | merged to main (ancestor) | fix(repid-engine): Phase 2.5.2 schema fixes and tier mismatches
origin/feat/gemini-2026-05-16-phase2-7-4-delta-restoration | merged to main (ancestor) | Phase 2.7.4: restore canonical RepID deltas + tier lookup + audit trace + patent trail
